Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,199031,1,SILVERINV,SILVERINV,E,0.01,
BSE,199030,1,HNGSNGINAV,HNGSNGINAV,E,0.01,
BSE,199029,1,GOLDSHAINV,GOLDSHAINV,E,0.01,
BSE,199028,1,QGOLDLFINV,QGOLDLFINV,E,0.01,
BSE,199027,1,SBIGETSINAV,SBIGETSINAV,E,0.01,
BSE,199026,1,KOTAKGDINV,KOTAKGDINV,E,0.01,
BSE,199025,1,GOLDBSINAV,GOLDBSINAV,E,0.01,
BSE,199024,1,ICICISINAV,ICICISINAV,E,0.01,
BSE,199023,1,IDBIGDINAV,IDBIGDINAV,E,0.01,
BSE,199022,1,AXISGOLDINV,AXISGOLDINV,E,0.01,
BSE,199021,1,BSLGOLDETF,BSLGOLDETF,E,0.01,
BSE,199020,1,MON100INAV,MON100INAV,E,0.01,
BSE,199019,1,ICICIGDINV,ICICIGDINV,E,0.01,
BSE,199018,1,HDFCETFINV,HDFCETFINV,E,0.01,
BSE,199017,1,IVZGOLDINV,IVZGOLDINV,E,0.01,
BSE,199016,1,RELCPSEINAV,RELCPSEINAV,B,0.01,
BSE,199015,1,RELHANGINAV,RELHANGINAV,B,0.01,
BSE,199014,1,RELSHARINAV,RELSHARINAV,B,0.01,
BSE,199013,1,RELPSUBINAV,RELPSUBINAV,B,0.01,
BSE,199012,1,RELGGLDINAV,RELGGLDINAV,B,0.01,
BSE,199011,1,RELLIQUINAV,RELLIQUINAV,B,0.01,
BSE,199010,1,RELGNFTINAV,RELGNFTINAV,B,0.01,
BSE,199009,1,RELJUNIINAV,RELJUNIINAV,B,0.01,
BSE,199008,1,RELGBNKINAV,RELGBNKINAV,B,0.01,
BSE,199007,1,RELSNSXINAV,RELSNSXINAV,B,0.01,
BSE,199006,1,RELNFTYINAV,RELNFTYINAV,B,0.05,
BSE,199005,1,RELGOLDINAV,RELGOLDINAV,E,0.01,
BSE,199004,1,RELCNXINAV,RELCNXINAV,B,0.05,
BSE,199003,1,RELBANKINAV,RELBANKINAV,B,0.25,
BSE,199002,1,HDFNFTYINAV,HDFNFTYINAV,B,0.01,
BSE,199001,1,HDFSNSXINAV,HDFSNSXINAV,B,0.01,
BSE,973996,1,118647PFS25,118647PFS25,F,0.01,
BSE,973995,1,12SEPL24,12SEPL24,F,0.01,
BSE,973994,1,962APSBCL31,962APSBCL31,F,0.01,
BSE,973993,1,962APSBCL30,962APSBCL30,F,0.01,
BSE,973992,1,975IWL25,975IWL25,F,0.01,
BSE,973991,1,962APSBCL29,962APSBCL29,F,0.01,
BSE,973990,1,962APSBCL28,962APSBCL28,F,0.01,
BSE,973989,1,975IWL24,975IWL24,F,0.01,
BSE,973988,1,962APSBCL25,962APSBCL25,F,0.01,
BSE,973987,1,962ASBCL32,962ASBCL32,F,0.01,
BSE,973986,1,962APSBCL26,962APSBCL26,F,0.01,
BSE,973985,1,962APSBCL27,962APSBCL27,F,0.01,
BSE,973984,1,962APSBCL24,962APSBCL24,F,0.01,
BSE,973983,1,962APSBCL23,962APSBCL23,F,0.01,
BSE,973982,1,750GIL27,750GIL27,F,0.01,
BSE,973981,1,IIFL070622,IIFL070622,F,0.01,
BSE,973980,1,AFPL080622,AFPL080622,F,0.01,
BSE,973979,1,125CESP27,125CESP27,F,0.01,
BSE,973978,1,76ABFL25,76ABFL25,F,0.01,
BSE,973977,1,MASFSL6622,MASFSL6622,F,0.01,
BSE,973976,1,GRIL3622,GRIL3622,F,0.01,
BSE,973975,1,770BFL27,770BFL27,F,0.01,
BSE,973974,1,737TRIL23,737TRIL23,F,0.01,
BSE,973973,1,1155MML27,1155MML27,F,0.01,
BSE,973972,1,749HDBFSL25,749HDBFSL25,F,0.01,
